order_item_id,order_id,category,quantity,item_price
172,67,Electronics,2,335.3
173,67,Grocery,3,605.28
174,67,Fashion,2,398.79
175,68,Toys,2,764.05
176,68,Fashion,2,491.49
177,69,Toys,1,1117.36
178,69,Electronics,2,951.9
179,69,Sports,1,532.43
180,70,Grocery,2,623.46
181,70,Beauty,3,930.53
182,70,Beauty,2,577.12
183,71,Toys,1,386.53
184,71,Grocery,3,321.55
185,71,Fashion,1,226.78
186,72,Beauty,2,1425.11
187,73,Toys,1,1961.62
188,74,Fashion,3,1085.37
189,75,Books,3,1037.37
190,75,Toys,3,750.77
191,76,Grocery,2,259.91
192,76,Grocery,2,295.66
193,76,Electronics,3,509.49
194,77,Books,2,593.77
195,77,Beauty,1,752.07
196,78,Sports,2,266.09
197,78,Sports,1,299.1
198,78,Sports,2,417.66
199,79,Sports,2,880.89
200,79,Grocery,2,690.44
201,79,Beauty,1,483.23
202,80,Electronics,3,835.12
203,80,Grocery,3,752.46
204,80,Electronics,3,730.48
205,81,Electronics,3,572.25
206,81,Electronics,3,390.17
207,81,Home & Kitchen,1,376.99
208,82,Books,2,551.02
209,82,Books,1,360.88
210,83,Books,3,530.25
211,83,Home & Kitchen,1,866.69
212,83,Grocery,1,507.62
213,84,Beauty,1,601.86
214,84,Grocery,1,875.33
215,84,Beauty,1,564.95
216,85,Grocery,3,703.57
217,85,Electronics,1,340.94
218,85,Grocery,1,566.65
219,86,Home & Kitchen,1,1322.83
220,86,Grocery,2,1071.94
221,87,Home & Kitchen,2,404.79
222,87,Grocery,1,296.0
223,87,Books,1,287.8
224,87,Home & Kitchen,2,273.68
225,88,Grocery,1,375.76
226,88,Beauty,2,587.76
227,88,Fashion,3,734.74
228,89,Home & Kitchen,3,200.36
229,89,Fashion,2,257.95
230,89,Grocery,1,155.76
231,90,Sports,3,229.93
232,90,Home & Kitchen,1,281.94
233,90,Books,1,300.07
234,90,Beauty,2,256.67
235,91,Fashion,1,1493.23
236,92,Fashion,2,807.94
237,92,Electronics,1,659.55
238,92,Grocery,3,653.89
239,93,Electronics,2,2000.13
240,94,Home & Kitchen,2,300.55
241,94,Electronics,1,279.53
242,94,Fashion,1,378.28
243,94,Grocery,2,545.76
244,95,Electronics,3,2062.38
245,96,Home & Kitchen,2,344.52
246,96,Toys,2,391.82
247,96,Books,1,659.38
248,97,Home & Kitchen,3,778.58
249,97,Beauty,1,788.11
250,98,Beauty,1,1007.46
251,99,Sports,3,971.61
252,99,Beauty,1,809.94
253,99,Beauty,1,1308.12
254,100,Grocery,3,2080.9
255,100,Sports,1,2143.13
256,101,Electronics,2,807.22
257,101,Sports,3,1403.55
258,101,Fashion,1,661.19
259,102,Home & Kitchen,1,1424.96
260,102,Electronics,2,739.51
261,102,Fashion,2,925.67
262,103,Fashion,1,503.39
263,103,Toys,2,582.27
264,104,Fashion,1,1946.83
265,105,Fashion,1,625.25
266,105,Home & Kitchen,2,350.88
267,106,Sports,2,405.11
268,106,Sports,2,428.07
269,106,Home & Kitchen,3,506.27
270,106,Fashion,1,369.16
271,107,Fashion,2,646.75
272,107,Toys,1,365.12
273,108,Books,2,385.06
274,108,Beauty,3,343.71
275,108,Grocery,1,371.0
276,108,Fashion,2,452.44
277,109,Toys,1,175.44
278,109,Electronics,3,180.08
279,109,Grocery,2,181.12
280,109,Fashion,3,270.8
281,110,Toys,2,572.4
282,111,Fashion,3,126.95
283,111,Beauty,3,176.04
284,112,Grocery,1,292.62
285,112,Grocery,2,254.15
286,112,Books,2,254.78
287,112,Toys,1,313.14
288,113,Home & Kitchen,1,575.93
289,113,Home & Kitchen,2,390.43
290,114,Sports,1,1250.54
291,115,Electronics,1,740.97
292,115,Home & Kitchen,1,604.43
293,116,Electronics,2,102.29
294,116,Fashion,1,99.88
295,117,Books,3,430.66
296,117,Books,3,429.18
297,117,Toys,3,357.0
298,117,Electronics,2,276.48
299,118,Home & Kitchen,2,612.73
300,119,Sports,2,980.26
301,120,Fashion,1,238.19
302,120,Beauty,2,348.0
303,120,Electronics,1,331.97
304,120,Electronics,3,170.5
305,121,Home & Kitchen,2,232.86
306,121,Beauty,1,259.76
307,121,Books,1,253.57
308,121,Fashion,1,247.49
309,122,Beauty,3,444.72
310,122,Electronics,3,608.32
311,122,Books,3,454.24
312,123,Home & Kitchen,3,331.24
313,123,Beauty,1,206.56
314,123,Fashion,1,284.18
315,123,Home & Kitchen,2,325.42
316,124,Sports,3,1206.13
317,124,Sports,2,1413.92
318,125,Toys,2,1143.13
319,126,Beauty,3,1140.84
320,127,Fashion,2,1277.11
321,127,Books,1,888.4
322,128,Sports,1,546.75
323,128,Toys,1,381.59
324,128,Toys,1,366.8
325,128,Grocery,2,369.5
326,129,Grocery,3,780.11
327,129,Beauty,2,692.3
328,129,Sports,3,446.84
329,129,Home & Kitchen,1,771.46
330,130,Beauty,2,1436.26
331,131,Sports,3,500.22
332,131,Grocery,2,404.77
333,131,Fashion,3,545.56
334,131,Sports,3,305.69
335,132,Home & Kitchen,2,631.08
336,132,Beauty,2,898.93
337,132,Toys,2,391.92
338,133,Grocery,3,395.34
339,133,Toys,3,754.91
340,134,Grocery,3,556.44
341,134,Sports,3,353.43
342,134,Books,3,452.79
343,135,Fashion,2,506.67
344,135,Grocery,1,422.16
345,135,Grocery,2,358.51
346,135,Beauty,2,493.68
347,136,Books,2,1369.13
348,137,Books,3,1727.67
349,138,Fashion,3,402.45
350,138,Toys,2,874.17
351,139,Home & Kitchen,1,400.22
352,139,Electronics,2,295.1
353,139,Sports,2,256.83
354,139,Grocery,2,361.12
355,140,Sports,3,534.6
356,140,Books,1,681.48
357,140,Grocery,2,439.5
358,141,Electronics,2,1207.69
359,141,Fashion,1,732.46
360,141,Home & Kitchen,1,1168.75
361,142,Books,2,413.23
362,142,Grocery,2,441.79
363,143,Home & Kitchen,3,302.07
364,143,Books,2,230.59
365,143,Beauty,3,287.96
366,143,Fashion,1,202.26
367,144,Beauty,2,329.43
368,144,Books,3,452.1
369,144,Books,1,555.13
370,145,Home & Kitchen,1,2719.82
371,146,Books,2,2395.59
372,147,Fashion,1,946.41
373,147,Electronics,3,959.17
374,147,Books,3,457.15
375,148,Electronics,3,841.19
376,148,Books,2,878.08
377,148,Beauty,3,1106.24
378,149,Toys,1,2418.63
379,150,Books,3,833.79
380,150,Beauty,1,772.27
381,150,Fashion,1,856.89
382,151,Grocery,2,1290.01
383,151,Sports,2,750.84
384,151,Beauty,1,1159.87
385,152,Beauty,2,1958.0
386,152,Fashion,1,1857.13
387,153,Sports,1,1864.93
388,154,Fashion,1,537.18
389,154,Grocery,2,549.45
390,154,Grocery,3,361.45
391,155,Books,2,688.0
392,155,Books,2,1119.71
393,156,Beauty,2,1409.53
394,156,Beauty,1,850.92
395,157,Electronics,1,1622.18
396,158,Toys,1,71.98
397,158,Toys,1,59.47
398,158,Electronics,1,54.58
399,159,Sports,3,289.45
400,159,Grocery,2,317.52
401,159,Fashion,2,314.64
402,160,Fashion,2,1505.58
403,161,Toys,2,130.13
404,161,Home & Kitchen,3,199.1
405,161,Books,2,153.96
406,161,Grocery,2,146.11
407,162,Beauty,3,300.06
408,162,Electronics,1,212.51
409,162,Sports,1,386.05
410,163,Electronics,1,275.99
411,163,Electronics,1,412.28
412,163,Toys,1,362.13
413,164,Sports,1,959.9
414,164,Home & Kitchen,2,1286.77
415,165,Grocery,1,2292.54
416,166,Electronics,3,571.99
417,166,Electronics,3,786.62
418,166,Books,3,901.46
419,167,Electronics,2,970.74
420,167,Fashion,1,782.09
421,168,Toys,3,761.1
422,168,Fashion,2,461.22
423,169,Grocery,2,548.78
424,170,Sports,2,1257.85
425,171,Sports,3,318.2
426,171,Books,2,424.01
427,172,Books,2,775.5
428,173,Grocery,1,197.7
429,173,Fashion,1,184.0
430,173,Books,3,280.52
431,173,Toys,1,391.3
432,174,Electronics,2,543.33
433,174,Grocery,1,335.9
434,175,Sports,1,719.66
435,175,Toys,3,676.93
436,176,Toys,3,250.38
437,176,Fashion,2,241.7
438,177,Books,1,349.75
439,177,Fashion,3,443.43
440,178,Electronics,3,275.28
441,178,Beauty,2,408.55
442,178,Electronics,3,255.36
443,178,Electronics,1,383.25
444,179,Home & Kitchen,3,361.08
445,179,Fashion,1,392.69
446,179,Books,1,348.61
447,180,Grocery,2,470.52
448,180,Beauty,2,415.4
449,180,Home & Kitchen,2,525.84
450,180,Fashion,2,286.69
451,181,Beauty,2,1290.29
452,181,Books,1,1198.66
453,182,Electronics,1,498.67
454,182,Electronics,3,762.77
455,182,Sports,3,840.97
456,182,Electronics,2,525.55
457,183,Fashion,2,3900.93
458,184,Electronics,1,3415.44
459,185,Sports,3,2486.79
460,186,Fashion,3,706.68
461,186,Sports,1,680.8
462,186,Books,3,397.7
463,186,Grocery,3,483.4
464,187,Sports,1,876.58
465,187,Home & Kitchen,3,1609.2
466,187,Home & Kitchen,2,946.19
467,188,Toys,1,4097.29
468,189,Fashion,3,594.68
469,189,Home & Kitchen,1,825.88
470,189,Books,1,746.45
471,189,Home & Kitchen,1,1094.59
472,190,Grocery,3,1204.66
473,190,Toys,3,1159.44
474,190,Fashion,1,718.55
475,190,Beauty,2,1161.06
476,191,Toys,2,649.61
477,191,Toys,3,718.75
478,191,Sports,1,423.85
479,191,Books,2,681.27
480,192,Toys,1,5026.84
481,193,Beauty,3,1081.79
482,193,Fashion,3,1110.62
483,194,Sports,2,4556.28
484,195,Sports,2,643.31
485,195,Fashion,3,712.62
486,195,Books,2,756.36
487,195,Beauty,3,660.4
488,196,Beauty,1,2364.98
489,197,Fashion,3,1171.39
490,197,Fashion,3,596.81
491,197,Toys,2,728.2
492,198,Electronics,2,1248.63
493,198,Beauty,2,1002.3
494,198,Electronics,2,1022.94
495,198,Beauty,3,702.18
496,199,Toys,3,789.55
497,199,Grocery,3,668.27
498,199,Beauty,1,835.79
499,199,Toys,2,543.95
500,200,Fashion,2,2858.54
501,201,Books,1,442.32
502,201,Beauty,1,664.0
503,201,Books,2,504.22
504,201,Sports,3,532.92
505,202,Toys,1,4369.51
506,203,Home & Kitchen,3,507.28
507,203,Fashion,1,869.98
508,203,Home & Kitchen,1,567.39
509,203,Beauty,2,609.43
510,204,Books,3,2624.68
511,205,Grocery,3,1254.68
512,205,Toys,1,920.09
513,205,Beauty,3,590.39
514,206,Grocery,1,639.51
515,206,Beauty,2,496.98
516,207,Fashion,1,2255.32
517,208,Sports,2,709.86
518,208,Grocery,2,667.24
519,208,Home & Kitchen,2,339.41
520,208,Sports,2,614.62
521,209,Fashion,2,468.15
522,209,Home & Kitchen,2,428.3
523,209,Toys,1,409.79
524,210,Fashion,1,1132.58
525,210,Fashion,2,1196.5
526,210,Beauty,2,995.46
527,211,Electronics,2,919.15
528,211,Toys,1,1346.67
529,212,Home & Kitchen,3,1727.26
530,213,Sports,3,1561.5
531,214,Electronics,1,1364.27
532,215,Toys,1,1605.9
533,215,Toys,3,1505.42
534,216,Books,2,2205.26
535,217,Sports,2,5164.16
536,218,Fashion,2,685.07
537,218,Fashion,2,899.97
538,218,Books,2,592.14
539,218,Grocery,1,591.23
540,219,Beauty,3,1865.12
541,220,Home & Kitchen,3,979.09
542,220,Grocery,3,1653.0
543,221,Grocery,1,4041.73
544,222,Books,2,1154.43
545,222,Electronics,2,822.6
546,222,Toys,3,1591.16
547,223,Sports,2,753.51
548,223,Books,3,818.98
549,223,Fashion,1,610.07
550,223,Electronics,2,697.3
551,224,Grocery,1,690.11
552,224,Grocery,3,680.23
553,224,Beauty,2,480.01
554,224,Sports,2,513.56
555,225,Beauty,3,613.52
556,225,Grocery,2,873.8
557,225,Home & Kitchen,1,818.08
558,225,Sports,1,613.27
559,226,Toys,1,4817.35
560,227,Grocery,1,1275.57
561,227,Fashion,3,740.17
562,227,Electronics,1,1190.89
563,228,Beauty,2,2577.12
564,229,Fashion,3,4357.73
565,230,Beauty,1,2752.32
566,230,Fashion,2,1328.06
567,231,Electronics,1,3837.12
568,232,Electronics,2,945.18
569,232,Sports,1,1222.63
570,232,Beauty,1,715.11
571,232,Fashion,1,813.66
572,233,Fashion,2,1203.67
573,233,Sports,3,706.11
574,233,Beauty,1,1231.15
575,233,Grocery,2,532.96
576,234,Grocery,1,608.91
577,234,Grocery,1,654.59
578,234,Fashion,1,995.45
579,235,Beauty,3,1262.81
580,235,Sports,1,2360.14
581,236,Toys,3,1379.51
582,236,Beauty,3,1110.47
583,236,Home & Kitchen,1,876.06
584,237,Beauty,3,1164.04
585,237,Books,2,1139.11
586,238,Sports,2,3452.3
587,239,Sports,2,3873.62
588,240,Electronics,2,4141.18
589,241,Fashion,3,1321.69
590,241,Home & Kitchen,2,893.78
591,241,Toys,3,1223.59
592,242,Sports,1,1271.16
593,242,Beauty,1,1159.72
594,242,Home & Kitchen,3,904.09
595,242,Books,2,1177.96
596,243,Fashion,1,1694.9
597,243,Home & Kitchen,2,2328.71
598,244,Home & Kitchen,2,1956.11
599,244,Books,3,1872.01
600,245,Toys,1,2322.34
601,245,Home & Kitchen,2,1679.94
602,246,Electronics,1,1061.16
603,246,Toys,3,1518.53
604,246,Grocery,3,1374.01
605,247,Books,2,981.71
606,247,Electronics,2,1047.44
607,247,Home & Kitchen,3,772.94
608,248,Sports,1,5406.16
609,249,Fashion,3,2286.05
610,250,Home & Kitchen,2,2148.5
611,250,Electronics,3,1374.88
612,251,Books,2,350.04
613,251,Toys,3,349.76
614,251,Electronics,1,350.3
615,251,Toys,2,448.09
616,252,Beauty,3,411.0
617,252,Toys,2,409.85
618,252,Fashion,2,255.15
619,252,Electronics,1,348.44
620,253,Electronics,1,395.15
621,253,Sports,2,364.71
622,253,Beauty,2,186.77
623,254,Home & Kitchen,2,243.39
624,254,Home & Kitchen,3,166.28
625,254,Fashion,3,310.44
626,254,Fashion,1,207.68
627,255,Sports,3,195.15
628,255,Books,3,285.71
629,255,Toys,2,253.92
630,255,Toys,3,207.72
631,256,Books,3,377.3
632,256,Sports,2,661.24
633,257,Toys,3,866.56
634,258,Sports,1,262.76
635,258,Books,2,285.16
636,259,Toys,1,529.92
637,259,Electronics,3,462.01
638,260,Books,2,224.49
639,261,Sports,3,1220.27
640,261,Books,2,1212.11
641,262,Toys,3,761.92
642,262,Fashion,3,786.22
643,263,Sports,3,673.94
644,263,Electronics,2,515.83
645,263,Home & Kitchen,2,453.02
646,263,Grocery,1,390.75
647,264,Beauty,2,367.89
648,264,Home & Kitchen,3,314.49
649,264,Books,2,362.91
650,264,Toys,3,316.1
651,265,Electronics,2,1142.01
652,265,Beauty,2,1033.4
653,266,Grocery,2,207.42
654,266,Books,2,326.06
655,266,Beauty,1,187.43
656,267,Fashion,3,514.99
657,267,Beauty,1,277.83
658,267,Grocery,2,365.08
659,267,Fashion,3,547.23
660,268,Sports,3,1003.27
661,268,Toys,1,820.37
662,269,Home & Kitchen,2,1239.49
663,270,Sports,1,455.3
664,270,Books,2,282.35
665,270,Books,1,426.4
666,271,Grocery,2,788.89
667,271,Grocery,2,1239.41
668,272,Sports,1,1927.12
669,273,Sports,3,1273.76
670,273,Beauty,2,1143.99
671,274,Electronics,1,521.56
672,274,Books,3,518.65
673,274,Fashion,2,297.1
674,274,Grocery,3,577.87
675,275,Toys,2,1702.05
676,276,Books,2,745.57
677,277,Sports,1,465.82
678,277,Fashion,3,373.0
679,277,Electronics,2,582.47
680,277,Toys,1,371.26
681,278,Home & Kitchen,1,638.69
682,279,Toys,1,451.89
683,279,Home & Kitchen,2,480.54
684,279,Sports,1,559.57
685,279,Home & Kitchen,1,275.07
686,280,Sports,2,2477.48
687,281,Toys,3,506.3
688,281,Sports,2,658.14
689,281,Fashion,2,844.89
690,282,Sports,2,783.77
691,282,Electronics,3,426.18
692,282,Toys,3,799.89
693,283,Electronics,3,1442.61
694,284,Beauty,2,339.04
695,284,Sports,1,561.94
696,284,Fashion,1,356.46
697,284,Electronics,1,336.64
698,285,Toys,2,2512.03
699,286,Sports,2,548.87
700,286,Electronics,2,547.55
701,286,Grocery,3,876.02
702,287,Books,1,404.54
703,287,Electronics,1,471.82
704,287,Electronics,3,362.45
705,287,Sports,1,257.06
706,288,Home & Kitchen,3,1163.39
707,288,Books,3,933.06
708,289,Sports,3,1565.21
709,290,Home & Kitchen,2,362.57
710,290,Fashion,2,536.0
711,290,Sports,2,681.63
712,291,Home & Kitchen,3,2386.82
713,292,Beauty,3,1000.33
714,292,Grocery,3,1083.91
715,293,Fashion,1,102.92
716,293,Sports,3,123.61
717,294,Beauty,1,1066.15
718,295,Electronics,3,1507.0
719,296,Toys,2,1631.59
720,297,Books,1,824.95
721,297,Beauty,3,486.38
722,297,Grocery,3,524.55
723,297,Grocery,2,623.28
724,298,Grocery,3,524.28
725,298,Fashion,1,621.79
726,298,Sports,3,593.5
727,298,Sports,3,401.79
728,299,Sports,2,523.88
729,299,Home & Kitchen,3,454.8
730,300,Grocery,1,267.59
731,300,Books,3,249.84
732,300,Home & Kitchen,1,373.65
733,300,Beauty,3,269.63
734,301,Sports,3,818.1
735,301,Home & Kitchen,2,1003.82
736,302,Grocery,3,721.56
737,302,Beauty,2,820.54
738,303,Sports,3,452.47
739,303,Sports,3,797.23
740,303,Fashion,3,689.76
741,304,Sports,3,310.82
742,304,Toys,3,414.58
743,304,Home & Kitchen,2,426.44
744,304,Grocery,2,385.92
745,305,Grocery,2,208.41
746,305,Fashion,2,212.68
747,305,Home & Kitchen,2,478.24
748,306,Toys,3,525.65
749,306,Books,2,399.96
750,306,Books,3,419.73
751,307,Toys,3,490.82
752,307,Books,2,401.07
753,307,Grocery,1,542.85
754,307,Toys,3,342.27
755,308,Grocery,2,1839.84
756,309,Grocery,3,1442.09
757,310,Toys,3,1467.51
758,311,Electronics,2,618.97
759,311,Electronics,1,548.38
760,311,Grocery,1,434.02
761,311,Fashion,3,505.76
762,312,Home & Kitchen,1,335.17
763,312,Sports,2,463.1
764,312,Beauty,2,434.53
765,312,Books,1,370.92
766,313,Home & Kitchen,3,870.04
767,313,Sports,3,697.19
768,314,Electronics,1,333.69
769,314,Grocery,1,475.33
770,315,Home & Kitchen,1,588.88
771,315,Grocery,2,791.37
772,316,Electronics,1,839.68
773,316,Toys,3,938.93
774,317,Toys,1,646.66
775,317,Electronics,2,655.46
776,318,Fashion,1,394.47
777,318,Electronics,2,484.69
778,318,Sports,3,363.71
779,318,Fashion,2,275.02
780,319,Books,2,422.17
781,319,Fashion,2,378.87
782,320,Sports,3,262.77
783,320,Toys,1,345.56
784,320,Books,2,187.56
785,321,Electronics,3,350.76
786,321,Fashion,1,422.06
787,321,Electronics,2,228.73
788,322,Beauty,3,371.53
789,322,Home & Kitchen,2,277.31
790,322,Toys,1,481.64
791,323,Home & Kitchen,2,150.83
792,323,Beauty,2,212.82
793,324,Home & Kitchen,2,281.75
794,324,Sports,3,285.22
795,325,Sports,3,849.58
796,325,Electronics,1,1023.05
797,326,Toys,3,1639.54
798,327,Beauty,2,559.85
799,327,Fashion,3,551.52
800,327,Fashion,2,539.58
801,328,Electronics,3,1488.17
802,329,Home & Kitchen,1,328.71
803,329,Fashion,1,531.46
804,329,Fashion,3,686.86
805,330,Beauty,3,683.39
806,330,Beauty,1,554.99
807,331,Fashion,3,2321.17
808,332,Toys,2,566.28
809,332,Electronics,3,513.31
810,332,Toys,3,545.59
811,332,Grocery,3,492.71
812,333,Electronics,2,1228.72
813,333,Fashion,2,853.9
814,334,Sports,3,1048.05
815,334,Grocery,3,836.66
816,335,Toys,2,487.23
817,335,Home & Kitchen,1,454.03
818,335,Beauty,1,698.05
819,335,Sports,3,837.21
820,336,Toys,3,355.02
821,336,Fashion,3,411.36
822,336,Grocery,1,230.18
823,336,Home & Kitchen,3,249.08
824,337,Electronics,3,428.2
825,337,Home & Kitchen,3,704.78
826,337,Home & Kitchen,3,374.91
827,337,Beauty,3,454.72
828,338,Home & Kitchen,2,947.07
829,339,Beauty,2,143.26
830,339,Toys,2,162.29
831,339,Toys,3,240.47
832,339,Sports,2,171.6
833,340,Sports,2,2398.97
834,341,Fashion,2,194.44
835,341,Toys,2,234.59
836,341,Books,2,263.7
837,341,Sports,2,315.09
838,342,Grocery,2,353.63
839,342,Grocery,2,517.09
840,342,Fashion,1,557.71
841,342,Toys,3,450.79
842,343,Grocery,2,354.31
843,343,Grocery,2,373.16
844,343,Home & Kitchen,2,253.13
845,344,Electronics,3,625.82
846,344,Sports,2,1330.09
847,345,Toys,2,1348.29
848,345,Fashion,3,1079.73
849,346,Grocery,2,215.72
850,346,Electronics,1,203.23
851,346,Sports,1,153.97
852,346,Electronics,2,269.47
853,347,Toys,3,843.56
854,348,Electronics,3,618.07
855,348,Books,2,336.65
856,348,Home & Kitchen,1,427.08
857,349,Toys,3,1590.77
858,350,Toys,1,2936.53
859,351,Sports,2,784.03
860,351,Electronics,1,822.48
861,351,Home & Kitchen,1,491.58
862,351,Books,2,832.62
863,352,Beauty,2,917.48
864,352,Books,3,1094.86
865,353,Grocery,1,1199.63
866,353,Fashion,3,867.51
867,353,Home & Kitchen,1,1056.35
868,353,Home & Kitchen,1,604.92
869,354,Books,1,1307.62
870,354,Books,1,904.19
871,354,Toys,1,676.68
872,354,Home & Kitchen,1,1392.8
873,355,Sports,3,842.21
874,355,Sports,2,1404.08
875,356,Grocery,1,892.81
876,356,Fashion,3,826.72
877,356,Toys,1,802.35
878,356,Grocery,3,517.42
879,357,Toys,2,1771.37
880,357,Home & Kitchen,1,1234.65
881,358,Sports,3,3025.02
882,359,Home & Kitchen,2,838.3
883,359,Books,1,620.72
884,359,Books,2,847.11
885,359,Grocery,3,678.58
886,360,Fashion,1,657.25
887,360,Electronics,3,754.62
888,360,Electronics,3,1475.5
889,360,Home & Kitchen,3,781.99
890,361,Beauty,2,657.29
891,361,Fashion,1,1311.23
892,361,Fashion,3,997.74
893,362,Toys,2,1063.43
894,362,Toys,3,1107.89
895,362,Books,1,784.53
896,362,Beauty,1,803.3
897,363,Beauty,2,1246.67
898,363,Fashion,2,1458.55
899,364,Home & Kitchen,2,1506.08
900,365,Grocery,1,3468.68
901,366,Grocery,1,3663.07
902,367,Fashion,1,1589.24
903,367,Electronics,1,949.41
904,367,Sports,1,1213.31
905,368,Fashion,3,3034.57
906,369,Electronics,3,780.8
907,369,Fashion,1,772.43
908,369,Toys,2,1147.34
909,370,Books,2,821.98
910,370,Electronics,3,764.63
911,370,Home & Kitchen,3,962.52
912,371,Books,1,2935.1
913,372,Fashion,1,2797.34
914,373,Toys,2,730.46
915,373,Grocery,2,1009.25
