customer_id,signup_date,city,age,gender,acquisition_channel
104,2024-05-21,Kolkata,31,F,Social Media
105,2024-03-14,Ahmedabad,45,M,Referral
106,2024-06-19,Delhi,39,M,Paid Ads
107,2024-08-25,Kolkata,39,F,Referral
108,2024-09-05,Delhi,59,M,Email
109,2025-10-17,Chennai,54,M,Paid Ads
110,2024-04-08,Patna,61,F,Social Media
111,2025-08-20,Bangalore,23,F,Organic
112,2025-08-15,Bangalore,64,F,Referral
113,2025-12-28,Ahmedabad,33,M,Social Media
114,2026-04-01,Delhi,47,F,Organic
115,2025-01-25,Patna,36,M,Paid Ads
116,2026-05-09,Mumbai,54,M,Organic
117,2024-01-18,Delhi,26,M,Referral
118,2024-06-26,Bangalore,18,F,Paid Ads
119,2026-04-14,Ahmedabad,42,F,Referral
120,2025-02-18,Chennai,33,F,Paid Ads
121,2025-06-12,Mumbai,22,M,Referral
122,2024-06-22,Kolkata,29,M,Referral
123,2025-03-31,Kolkata,39,F,Organic
124,2025-11-06,Ahmedabad,22,F,Organic
125,2024-09-02,Kolkata,22,F,Paid Ads
126,2025-12-05,Bangalore,38,M,Paid Ads
127,2024-01-06,Hyderabad,47,M,Referral
128,2025-02-13,Mumbai,22,M,Social Media
129,2026-02-16,Pune,27,M,Referral
130,2024-10-04,Mumbai,18,F,Paid Ads
131,2026-02-27,Patna,33,M,Organic
132,2024-06-14,Mumbai,45,M,Referral
133,2025-04-08,Bangalore,41,M,Referral
134,2026-02-27,Jaipur,50,M,Paid Ads
135,2024-11-04,Chennai,54,F,Referral
136,2024-08-25,Delhi,57,M,Social Media
137,2025-08-03,Jaipur,30,M,Organic
138,2024-09-07,Jaipur,52,M,Paid Ads
139,2026-04-17,Kolkata,46,F,Email
140,2026-04-03,Hyderabad,51,M,Organic
141,2024-01-01,Pune,62,M,Social Media
142,2025-05-18,Hyderabad,42,F,Email
143,2026-01-29,Bangalore,27,F,Paid Ads
144,2024-01-31,Ahmedabad,52,F,Social Media
145,2024-06-22,Delhi,35,M,Organic
146,2025-07-17,Ahmedabad,40,M,Social Media
147,2025-04-22,Delhi,30,M,Email
148,2025-01-06,Patna,47,F,Social Media
149,2024-03-30,Bangalore,42,F,Paid Ads
150,2025-01-09,Delhi,53,M,Organic
151,2024-05-02,Pune,29,F,Paid Ads
152,2024-05-13,Bangalore,48,F,Social Media
153,2026-01-24,Patna,64,F,Organic
154,2024-04-17,Jaipur,29,M,Paid Ads
155,2026-04-07,Patna,53,F,Social Media
156,2024-07-14,Delhi,56,M,Organic
157,2024-07-18,Hyderabad,56,M,Social Media
158,2026-01-08,Delhi,52,M,Social Media
159,2026-05-04,Hyderabad,35,F,Social Media
160,2024-09-13,Jaipur,61,M,Social Media
161,2025-02-15,Pune,63,M,Email
162,2026-03-30,Hyderabad,44,F,Email
163,2025-10-19,Hyderabad,54,M,Organic
164,2024-11-25,Delhi,62,F,Paid Ads
165,2026-04-17,Hyderabad,24,M,Social Media
166,2024-11-08,Mumbai,23,F,Email
167,2025-04-29,Bangalore,61,F,Referral
168,2025-09-11,Bangalore,43,F,Paid Ads
169,2025-08-03,Patna,62,F,Organic
170,2025-11-11,Patna,37,M,Organic
171,2026-03-15,Delhi,58,M,Email
172,2025-12-02,Bangalore,45,M,Social Media
173,2024-07-06,Pune,42,M,Social Media
174,2025-01-20,Kolkata,23,M,Email
175,2024-12-15,Mumbai,62,F,Organic
176,2024-04-09,Pune,38,M,Social Media
177,2025-06-09,Pune,52,M,Referral
178,2024-02-02,Chennai,64,M,Referral
179,2026-05-10,Pune,48,F,Social Media
180,2024-12-23,Jaipur,20,M,Social Media
181,2024-12-08,Chennai,29,M,Social Media
182,2024-01-12,Bangalore,55,F,Paid Ads
183,2024-04-20,Mumbai,25,M,Organic
184,2024-04-01,Pune,25,F,Paid Ads
185,2024-12-21,Chennai,45,F,Paid Ads
186,2024-04-14,Bangalore,44,M,Referral
187,2024-02-18,Kolkata,50,M,Paid Ads
188,2025-05-28,Ahmedabad,46,M,Organic
189,2024-04-20,Chennai,23,F,Social Media
190,2026-03-09,Pune,64,F,Social Media
191,2025-01-04,Chennai,47,M,Social Media
192,2025-03-08,Mumbai,50,M,Email
193,2026-01-24,Kolkata,64,F,Organic
194,2024-11-28,Hyderabad,42,M,Social Media
195,2026-04-17,Hyderabad,30,F,Organic
196,2024-07-24,Patna,18,F,Organic
197,2026-01-04,Patna,45,F,Email
198,2025-01-12,Mumbai,55,M,Social Media
199,2026-01-04,Hyderabad,54,M,Email
200,2025-09-24,Jaipur,38,F,Paid Ads
201,2024-10-22,Mumbai,62,M,Referral
202,2024-05-26,Jaipur,57,F,Referral
203,2024-05-30,Pune,25,F,Organic
204,2025-10-31,Kolkata,20,M,Paid Ads
205,2025-07-04,Kolkata,61,M,Referral
206,2025-10-20,Hyderabad,34,M,Organic
207,2025-09-30,Kolkata,32,M,Email
208,2025-12-26,Patna,28,M,Organic
209,2024-03-25,Pune,51,F,Paid Ads
210,2024-06-01,Delhi,47,F,Referral
211,2024-04-04,Jaipur,51,F,Paid Ads
212,2025-09-17,Delhi,41,F,Social Media
213,2025-06-11,Patna,59,F,Social Media
214,2024-06-18,Kolkata,21,F,Paid Ads
215,2025-01-21,Kolkata,34,F,Organic
216,2024-10-24,Patna,51,M,Referral
217,2024-10-22,Chennai,60,F,Referral
218,2026-04-13,Kolkata,64,M,Organic
219,2025-11-27,Jaipur,48,F,Paid Ads
220,2024-08-05,Kolkata,21,M,Organic
221,2025-10-17,Hyderabad,20,F,Social Media
222,2024-10-12,Chennai,49,F,Organic
223,2025-03-08,Jaipur,36,F,Email
224,2025-12-19,Ahmedabad,59,F,Organic
225,2025-01-23,Ahmedabad,18,M,Paid Ads
226,2024-04-27,Patna,63,F,Paid Ads
227,2025-11-19,Bangalore,62,M,Paid Ads
228,2026-05-04,Hyderabad,64,F,Referral
229,2024-06-01,Delhi,47,M,Organic
230,2024-03-19,Hyderabad,34,M,Organic
231,2026-04-19,Chennai,52,M,Organic
232,2024-01-23,Mumbai,39,M,Organic
233,2024-05-24,Chennai,31,F,Paid Ads
234,2025-01-02,Jaipur,31,M,Organic
235,2024-09-15,Ahmedabad,20,F,Social Media
236,2025-09-23,Jaipur,64,M,Organic
237,2026-01-24,Kolkata,55,F,Paid Ads
238,2026-01-17,Kolkata,42,M,Email
239,2024-11-28,Bangalore,56,M,Paid Ads
240,2025-09-14,Delhi,43,F,Paid Ads
241,2024-04-01,Chennai,30,M,Referral
242,2024-09-12,Patna,20,F,Referral
243,2025-08-11,Mumbai,53,M,Paid Ads
244,2024-01-04,Delhi,25,F,Referral
245,2025-08-29,Bangalore,59,F,Organic
246,2025-02-15,Patna,43,F,Referral
247,2025-12-07,Ahmedabad,62,F,Paid Ads
248,2025-03-19,Patna,39,F,Organic
249,2025-10-19,Bangalore,21,F,Social Media
250,2026-05-13,Ahmedabad,47,F,Organic
251,2026-01-26,Chennai,20,F,Paid Ads
252,2024-08-28,Patna,53,F,Social Media
253,2024-10-21,Chennai,37,F,Social Media
254,2025-04-05,Ahmedabad,23,M,Social Media
255,2024-12-04,Hyderabad,55,M,Referral
256,2024-03-31,Hyderabad,32,F,Paid Ads
257,2026-04-22,Pune,62,M,Email
258,2024-04-04,Bangalore,21,M,Paid Ads
259,2025-05-02,Chennai,29,F,Organic
260,2024-03-29,Bangalore,55,M,Referral
261,2024-03-18,Delhi,53,F,Paid Ads
262,2026-01-10,Kolkata,23,F,Paid Ads
263,2026-02-20,Patna,40,F,Paid Ads
264,2026-04-05,Kolkata,57,M,Email
265,2024-09-01,Chennai,54,F,Organic
266,2024-03-29,Kolkata,32,M,Paid Ads
267,2026-02-27,Jaipur,47,F,Organic
268,2024-05-04,Ahmedabad,61,M,Paid Ads
269,2024-10-15,Pune,28,F,Social Media
270,2024-04-16,Kolkata,52,F,Social Media
271,2024-04-15,Patna,46,M,Organic
272,2024-12-31,Ahmedabad,31,M,Email
273,2025-09-19,Hyderabad,54,F,Email
274,2024-07-05,Ahmedabad,43,M,Social Media
275,2025-01-17,Kolkata,59,F,Paid Ads
276,2024-03-02,Kolkata,56,M,Email
277,2024-05-07,Ahmedabad,55,M,Paid Ads
278,2025-10-13,Jaipur,50,M,Organic
279,2026-05-28,Kolkata,19,M,Paid Ads
280,2026-03-23,Delhi,56,F,Organic
281,2025-05-06,Bangalore,24,F,Email
282,2025-02-09,Bangalore,32,M,Social Media
283,2024-11-13,Hyderabad,47,F,Social Media
284,2025-05-03,Pune,55,M,Email
285,2025-01-05,Ahmedabad,44,F,Email
286,2025-02-16,Pune,39,F,Email
287,2025-09-06,Hyderabad,27,F,Paid Ads
288,2024-07-22,Hyderabad,48,M,Paid Ads
289,2025-04-11,Ahmedabad,32,M,Email
290,2025-12-11,Patna,64,M,Paid Ads
291,2025-05-06,Pune,44,M,Referral
292,2024-04-22,Delhi,53,M,Email
293,2024-01-15,Mumbai,37,M,Organic
294,2025-12-12,Chennai,55,M,Organic
295,2026-05-24,Jaipur,43,M,Social Media
296,2024-06-04,Chennai,30,M,Organic
297,2024-04-23,Ahmedabad,50,M,Organic
298,2026-04-15,Jaipur,29,M,Organic
299,2024-11-27,Ahmedabad,22,F,Social Media
300,2026-02-24,Pune,59,M,Email
301,2025-02-15,Jaipur,26,M,Paid Ads
302,2024-07-24,Bangalore,57,F,Email
303,2025-06-26,Delhi,18,M,Organic
304,2024-04-16,Hyderabad,63,F,Organic
305,2025-01-14,Kolkata,18,M,Social Media
306,2025-07-28,Delhi,57,M,Referral
307,2025-03-18,Delhi,26,F,Organic
308,2024-09-02,Jaipur,43,M,Paid Ads
309,2025-11-11,Jaipur,42,M,Social Media
310,2026-04-23,Pune,24,F,Paid Ads
311,2025-04-14,Pune,34,M,Referral
312,2026-04-01,Patna,41,F,Referral
313,2024-01-13,Mumbai,41,F,Paid Ads
314,2026-05-11,Ahmedabad,60,M,Referral
315,2025-04-10,Kolkata,38,F,Paid Ads
316,2024-06-09,Ahmedabad,58,M,Organic
317,2024-07-27,Kolkata,45,M,Paid Ads
318,2025-02-14,Patna,24,F,Referral
319,2024-06-28,Jaipur,40,F,Paid Ads
320,2024-06-15,Ahmedabad,49,F,Paid Ads
321,2026-05-09,Jaipur,46,F,Paid Ads
322,2024-08-29,Pune,35,M,Organic
323,2025-02-27,Delhi,19,F,Paid Ads
324,2025-03-13,Ahmedabad,47,M,Referral
325,2024-11-23,Ahmedabad,18,F,Paid Ads
326,2025-06-16,Pune,20,M,Paid Ads
327,2024-11-12,Ahmedabad,63,F,Paid Ads
328,2025-02-14,Bangalore,45,F,Email
329,2026-02-24,Chennai,25,F,Organic
330,2026-01-28,Hyderabad,41,F,Organic
331,2025-01-25,Hyderabad,25,F,Organic
332,2024-03-19,Patna,20,M,Social Media
333,2024-05-23,Patna,25,M,Organic
334,2025-10-20,Delhi,31,M,Referral
335,2025-03-05,Kolkata,33,F,Paid Ads
336,2024-03-09,Patna,38,M,Paid Ads
337,2024-01-06,Ahmedabad,35,F,Organic
338,2025-06-02,Ahmedabad,40,M,Email
339,2024-07-22,Delhi,36,F,Referral
340,2025-02-10,Chennai,19,F,Social Media
341,2024-09-08,Chennai,28,F,Organic
342,2025-11-17,Jaipur,40,F,Organic
343,2026-05-07,Ahmedabad,54,F,Paid Ads
344,2025-10-26,Kolkata,51,F,Social Media
345,2026-05-21,Pune,39,F,Email
346,2024-01-16,Hyderabad,47,F,Paid Ads
347,2024-06-22,Hyderabad,49,M,Paid Ads
348,2024-04-26,Delhi,31,M,Email
349,2024-08-19,Pune,42,M,Organic
350,2026-04-27,Patna,60,M,Paid Ads
351,2024-02-25,Chennai,46,M,Organic
352,2025-07-27,Ahmedabad,28,F,Email
353,2026-05-08,Jaipur,59,F,Referral
354,2024-08-18,Delhi,34,M,Paid Ads
355,2025-10-29,Hyderabad,29,M,Organic
356,2024-07-16,Pune,38,M,Organic
357,2024-03-05,Hyderabad,44,M,Referral
358,2025-04-23,Patna,24,M,Referral
359,2025-07-20,Hyderabad,38,M,Paid Ads
360,2024-03-02,Mumbai,19,F,Organic
361,2025-07-09,Bangalore,53,F,Email
362,2024-11-22,Delhi,28,M,Organic
363,2025-01-22,Jaipur,56,F,Referral
364,2024-06-08,Ahmedabad,64,F,Social Media
365,2025-07-03,Ahmedabad,50,F,Organic
366,2026-05-19,Bangalore,36,M,Referral
367,2025-09-23,Hyderabad,62,F,Organic
368,2024-08-28,Delhi,19,M,Organic
369,2025-01-02,Kolkata,34,F,Paid Ads
370,2024-09-09,Delhi,57,M,Paid Ads
371,2024-10-02,Bangalore,20,M,Organic
372,2025-10-02,Jaipur,47,F,Organic
373,2024-02-08,Delhi,54,M,Organic
374,2024-10-05,Delhi,34,F,Social Media
375,2025-05-31,Jaipur,64,M,Organic
376,2025-10-01,Patna,36,F,Email
377,2025-01-20,Ahmedabad,40,F,Email
378,2025-02-18,Hyderabad,25,F,Organic
379,2024-09-04,Hyderabad,32,M,Referral
380,2024-06-16,Jaipur,43,M,Organic
381,2025-08-17,Chennai,24,M,Social Media
382,2024-03-01,Hyderabad,39,M,Social Media
383,2026-01-01,Bangalore,24,M,Organic
384,2024-12-11,Bangalore,40,M,Email
385,2024-11-06,Bangalore,56,M,Paid Ads
386,2025-12-16,Kolkata,56,F,Organic
387,2025-06-27,Jaipur,52,F,Referral
388,2025-04-19,Hyderabad,20,M,Referral
389,2024-12-19,Chennai,40,F,Organic
390,2024-12-12,Hyderabad,21,F,Email
391,2024-02-06,Delhi,35,M,Paid Ads
392,2024-10-27,Hyderabad,61,M,Organic
393,2025-09-10,Kolkata,59,M,Social Media
394,2025-05-24,Patna,30,M,Paid Ads
395,2025-03-08,Bangalore,52,F,Organic
396,2024-04-17,Bangalore,46,M,Email
397,2025-03-09,Mumbai,61,M,Referral
398,2025-06-29,Hyderabad,64,F,Paid Ads
399,2026-03-02,Ahmedabad,56,M,Paid Ads
400,2025-09-12,Ahmedabad,20,F,Paid Ads
401,2026-04-12,Kolkata,21,F,Email
402,2025-05-29,Patna,18,F,Social Media
403,2024-02-12,Ahmedabad,32,M,Paid Ads
404,2024-06-28,Jaipur,29,M,Social Media
405,2025-02-09,Kolkata,54,F,Organic
406,2024-10-04,Jaipur,63,F,Referral
407,2025-02-16,Mumbai,51,M,Organic
408,2024-02-29,Chennai,25,M,Social Media
409,2024-06-17,Hyderabad,62,M,Organic
410,2025-11-06,Bangalore,43,F,Organic
411,2025-06-21,Patna,23,F,Email
412,2025-05-02,Hyderabad,40,M,Social Media
413,2025-11-08,Jaipur,59,F,Paid Ads
414,2026-03-05,Ahmedabad,34,M,Organic
415,2024-06-28,Ahmedabad,55,F,Referral
416,2025-08-21,Kolkata,42,F,Referral
417,2024-10-22,Pune,51,M,Paid Ads
418,2025-01-30,Bangalore,45,F,Paid Ads
419,2024-03-09,Kolkata,51,F,Social Media
420,2025-11-08,Hyderabad,57,F,Social Media
421,2024-01-03,Patna,51,M,Paid Ads
422,2026-03-18,Ahmedabad,25,M,Referral
423,2026-04-16,Pune,35,F,Organic
424,2024-11-02,Pune,30,M,Social Media
425,2025-07-19,Kolkata,57,M,Social Media
426,2025-10-31,Patna,20,F,Paid Ads
427,2024-04-18,Kolkata,44,M,Social Media
428,2025-05-27,Chennai,41,F,Email
429,2025-05-02,Jaipur,50,F,Organic
430,2024-07-12,Ahmedabad,30,M,Email
431,2025-04-11,Chennai,59,F,Organic
432,2026-02-26,Patna,24,M,Social Media
433,2025-04-25,Hyderabad,48,F,Email
434,2025-09-26,Ahmedabad,60,M,Organic
435,2025-05-21,Mumbai,35,M,Email
436,2025-09-17,Bangalore,46,F,Organic
437,2025-04-04,Patna,30,M,Referral
438,2026-05-11,Patna,34,F,Organic
439,2024-07-16,Delhi,41,M,Email
440,2024-10-25,Delhi,36,F,Email
441,2025-10-15,Delhi,49,M,Email
442,2025-08-11,Ahmedabad,32,F,Social Media
443,2024-09-27,Patna,21,F,Organic
444,2025-04-12,Kolkata,21,F,Paid Ads
445,2025-09-22,Ahmedabad,39,M,Email
446,2026-05-01,Ahmedabad,39,M,Referral
447,2024-01-01,Kolkata,31,M,Social Media
448,2025-04-17,Jaipur,53,M,Referral
449,2025-03-21,Delhi,29,F,Organic
450,2024-11-22,Kolkata,23,F,Paid Ads
451,2025-10-29,Patna,28,F,Referral
452,2025-05-15,Mumbai,63,F,Paid Ads
453,2025-12-23,Hyderabad,52,F,Paid Ads
454,2025-11-17,Bangalore,46,F,Referral
455,2025-11-17,Patna,19,F,Email
456,2024-11-27,Pune,28,F,Organic
457,2026-03-05,Patna,61,F,Organic
458,2026-01-05,Ahmedabad,64,F,Paid Ads
459,2024-09-20,Chennai,23,M,Email
460,2024-05-11,Jaipur,18,F,Paid Ads
461,2025-03-16,Chennai,51,F,Organic
462,2026-03-11,Mumbai,42,F,Email
463,2025-06-04,Ahmedabad,61,F,Paid Ads
464,2024-05-25,Kolkata,63,M,Organic
465,2024-12-30,Ahmedabad,25,M,Email
466,2025-04-27,Bangalore,24,F,Referral
467,2024-12-14,Delhi,41,F,Social Media
468,2024-11-05,Delhi,63,F,Paid Ads
469,2024-08-16,Mumbai,24,M,Organic
470,2024-02-07,Kolkata,53,M,Referral
471,2024-03-12,Delhi,39,F,Referral
472,2025-01-15,Hyderabad,41,F,Paid Ads
473,2026-01-08,Jaipur,34,F,Organic
474,2024-04-23,Delhi,35,F,Paid Ads
475,2025-12-08,Patna,49,F,Referral
476,2025-10-05,Pune,55,F,Social Media
477,2024-10-29,Patna,41,M,Organic
478,2025-08-19,Jaipur,63,M,Organic
479,2026-02-06,Chennai,39,F,Organic
480,2025-09-12,Chennai,57,M,Organic
481,2025-01-14,Kolkata,19,M,Paid Ads
482,2024-08-17,Delhi,47,F,Organic
483,2024-01-09,Bangalore,39,F,Paid Ads
484,2024-06-14,Mumbai,43,M,Referral
485,2025-10-22,Pune,51,M,Organic
486,2024-12-05,Hyderabad,57,F,Referral
487,2024-09-30,Pune,23,F,Referral
488,2026-03-15,Bangalore,48,M,Paid Ads
489,2025-12-22,Patna,25,F,Social Media
490,2024-03-19,Jaipur,37,M,Paid Ads
491,2026-05-15,Bangalore,24,M,Referral
492,2025-01-22,Delhi,23,F,Email
493,2024-07-07,Jaipur,20,M,Organic
494,2025-12-10,Ahmedabad,31,M,Organic
495,2024-07-26,Chennai,40,F,Referral
496,2025-12-22,Hyderabad,36,F,Social Media
497,2026-04-05,Hyderabad,25,M,Social Media
498,2026-05-18,Ahmedabad,49,F,Paid Ads
499,2025-05-07,Patna,35,M,Referral
500,2025-11-18,Delhi,58,F,Paid Ads
501,2026-02-23,Pune,52,F,Organic
502,2025-10-24,Kolkata,32,F,Organic
503,2026-05-01,Ahmedabad,47,F,Social Media
504,2025-11-23,Chennai,41,F,Paid Ads
505,2024-09-04,Ahmedabad,61,M,Email
506,2026-01-07,Chennai,49,F,Referral
507,2025-11-30,Jaipur,51,F,Paid Ads
508,2025-02-06,Jaipur,51,F,Email
509,2025-01-19,Hyderabad,29,M,Paid Ads
510,2025-03-06,Kolkata,38,F,Email
511,2026-03-20,Mumbai,25,M,Paid Ads
512,2026-01-22,Jaipur,59,F,Organic
513,2025-01-06,Hyderabad,54,M,Social Media
514,2025-03-02,Jaipur,64,F,Referral
515,2025-11-14,Chennai,37,M,Referral
516,2024-04-30,Jaipur,42,F,Social Media
517,2025-03-19,Bangalore,54,M,Organic
518,2024-12-30,Mumbai,29,F,Organic
519,2025-02-26,Ahmedabad,64,M,Organic
520,2025-06-05,Jaipur,31,F,Paid Ads
521,2025-05-11,Bangalore,29,M,Email
522,2026-04-19,Hyderabad,37,F,Referral
523,2024-05-05,Kolkata,37,M,Paid Ads
524,2024-08-02,Chennai,64,M,Referral
525,2024-08-22,Patna,61,F,Paid Ads
526,2024-12-25,Patna,23,F,Organic
527,2025-08-18,Bangalore,31,F,Organic
528,2024-08-25,Ahmedabad,37,F,Organic
529,2024-11-28,Pune,52,M,Paid Ads
530,2024-04-09,Ahmedabad,22,M,Organic
531,2025-10-06,Bangalore,29,M,Organic
532,2025-09-25,Kolkata,41,F,Referral
533,2025-05-29,Delhi,42,F,Referral
534,2026-04-22,Mumbai,48,F,Organic
535,2025-12-24,Patna,40,M,Referral
536,2025-10-07,Ahmedabad,62,F,Organic
537,2024-04-06,Hyderabad,25,F,Social Media
538,2024-11-17,Pune,25,M,Organic
539,2025-10-14,Chennai,64,F,Organic
540,2025-08-28,Mumbai,43,F,Paid Ads
541,2024-01-31,Jaipur,35,M,Referral
542,2025-08-13,Delhi,57,F,Email
543,2026-01-10,Hyderabad,42,F,Referral
544,2024-01-10,Delhi,36,M,Social Media
545,2025-06-30,Mumbai,22,M,Referral
546,2025-04-08,Hyderabad,19,F,Social Media
547,2025-08-28,Delhi,26,M,Social Media
548,2025-10-12,Chennai,30,M,Email
549,2026-04-16,Kolkata,58,F,Organic
550,2026-04-28,Pune,55,F,Paid Ads
551,2024-12-08,Jaipur,23,M,Social Media
552,2026-01-28,Kolkata,40,M,Paid Ads
553,2024-12-06,Ahmedabad,41,F,Organic
554,2025-02-27,Hyderabad,38,M,Paid Ads
555,2025-11-08,Pune,24,M,Referral
556,2026-01-24,Ahmedabad,46,F,Paid Ads
557,2024-02-15,Chennai,52,F,Organic
558,2025-08-27,Delhi,52,F,Organic
559,2025-06-06,Patna,19,F,Paid Ads
560,2025-09-20,Mumbai,43,F,Social Media
561,2024-09-13,Hyderabad,45,M,Organic
562,2025-12-27,Delhi,29,F,Organic
563,2024-07-17,Delhi,32,M,Paid Ads
564,2026-04-09,Jaipur,40,M,Email
565,2024-02-11,Mumbai,60,F,Organic
566,2025-09-04,Chennai,33,M,Referral
567,2026-05-26,Jaipur,42,M,Referral
568,2024-02-12,Delhi,21,M,Social Media
569,2024-05-10,Jaipur,51,M,Organic
570,2025-10-27,Chennai,63,F,Paid Ads
571,2024-07-29,Bangalore,52,M,Referral
572,2025-12-18,Hyderabad,47,M,Email
573,2024-10-09,Bangalore,21,F,Email
574,2024-03-19,Bangalore,24,M,Referral
575,2025-02-08,Mumbai,30,M,Organic
576,2025-08-11,Mumbai,59,F,Organic
577,2025-05-23,Chennai,37,F,Paid Ads
578,2024-11-24,Mumbai,18,M,Paid Ads
579,2025-12-07,Hyderabad,64,M,Social Media
580,2025-05-22,Bangalore,38,F,Social Media
581,2025-06-08,Patna,26,M,Referral
582,2025-08-11,Delhi,59,F,Social Media
583,2025-03-08,Ahmedabad,43,F,Organic
584,2025-10-16,Patna,41,M,Email
585,2025-01-26,Ahmedabad,27,M,Email
586,2024-05-07,Jaipur,27,M,Paid Ads
587,2025-12-31,Patna,64,F,Organic
588,2024-01-31,Ahmedabad,50,M,Organic
589,2026-04-17,Mumbai,54,F,Referral
590,2024-03-21,Kolkata,49,F,Referral
591,2025-06-27,Delhi,30,F,Referral
592,2024-12-14,Ahmedabad,19,M,Organic
593,2024-04-16,Delhi,35,F,Paid Ads
594,2024-03-03,Jaipur,56,M,Email
