cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2024-11,1095.4523300970873,3356.6420388349516,5082.452330097087,6713.913203883494,8594.47631067961,9853.514077669903,11516.866310679612,12918.876407766991,14573.558058252427,15504.914757281553,16558.70067961165,17727.23194174757,18781.38912621359,19902.074660194176,20727.277475728155,21807.190679611653,22753.97980582524,23749.444174757282,24502.367184466017,25132.10009708738,,,,,,,,,,
2024-12,881.8238345864662,2527.8995488721807,4402.603609022556,5942.811954887218,7693.025263157894,9265.928872180451,10736.426015037596,11976.783007518798,13363.044511278196,14386.383609022558,15573.78022556391,16535.027368421055,17585.263233082707,18748.51721804511,19439.573308270676,20505.78917293233,21086.386616541353,21772.014060150377,22571.0815037594,,,,,,,,,,,
2025-01,1088.1961475409835,2803.596393442623,4856.814590163935,6736.844999999999,8444.680163934427,9731.136065573772,11421.490655737705,13035.58680327869,14417.775491803279,15675.64204918033,16945.650655737707,18407.187540983607,19804.52344262295,20763.774672131145,21817.36049180328,22696.608606557376,23726.28918032787,24648.683606557377,,,,,,,,,,,,
2025-02,947.2839655172414,3357.567844827586,4905.628965517241,6902.103706896552,8386.878879310345,9919.306810344828,11325.603793103448,12872.65603448276,14682.109482758622,15963.796982758622,17171.169137931036,18109.569913793108,19011.326465517242,20065.926465517245,21111.609051724143,22012.451379310347,23242.298879310347,,,,,,,,,,,,,
2025-03,1467.53752,3348.19,5050.37184,6768.34504,8726.3136,10388.66808,11979.49064,13341.952800000001,14776.611040000002,16079.937280000002,17310.98864,18739.25568,19908.26024,20933.3536,21862.685439999997,22705.457599999998,,,,,,,,,,,,,,
2025-04,1332.7008064516128,3192.368225806452,5138.785000000001,7132.6425,8731.735483870967,10154.867177419355,11567.489596774194,12847.455967741937,14078.687903225808,15009.415241935483,16069.944838709676,17407.524032258065,18328.576451612902,19276.110806451612,20404.978145161287,,,,,,,,,,,,,,,
2025-05,1328.4921804511278,3653.118120300752,5526.860902255639,7295.830676691729,9140.947368421053,10689.527819548872,12774.43977443609,14146.367067669173,15454.74007518797,16713.436466165414,17695.950977443612,18665.289924812034,19798.228646616546,21000.280751879705,,,,,,,,,,,,,,,,
2025-06,997.3944,2981.4304,4806.413100000001,6462.9824,8201.811,9876.7801,11707.5578,13289.8538,14717.6906,16016.3195,17212.638499999997,18126.627699999997,19007.382999999998,,,,,,,,,,,,,,,,,
2025-07,1098.0694871794872,3057.161794871795,4991.119914529915,6697.901111111111,8324.46341880342,9963.040683760684,11315.933931623931,12431.20418803419,13698.764871794874,15005.788632478634,16122.634273504274,17258.94666666667,,,,,,,,,,,,,,,,,,
2025-08,1007.2155384615385,3273.2187692307693,4775.315384615385,6804.484384615384,8908.769846153848,10777.945769230771,12397.05607692308,13938.430076923078,15033.289,16507.970153846156,17613.25276923077,,,,,,,,,,,,,,,,,,,
2025-09,984.2275423728814,3215.5167796610167,5305.733813559322,6906.724152542372,9024.190084745762,10496.878050847457,12000.541186440676,13627.541779661016,15164.772711864407,16501.676864406778,,,,,,,,,,,,,,,,,,,,
2025-10,1254.671395348837,3437.0041085271314,5261.646201550388,7397.373255813953,9403.24968992248,10904.688217054263,12221.360077519379,13650.568914728681,14701.175426356589,,,,,,,,,,,,,,,,,,,,,
2025-11,1060.7606976744187,3091.7016279069767,5141.443255813953,6595.747364341085,8253.358604651163,9506.952403100777,10889.103643410854,12077.30054263566,,,,,,,,,,,,,,,,,,,,,,
2025-12,1317.3166393442623,3688.187704918033,5745.819262295082,7524.370409836065,9353.208524590164,10930.824672131146,12287.854836065571,,,,,,,,,,,,,,,,,,,,,,,
2026-01,1331.0752,3320.9887999999996,5309.43376,6993.05048,9038.10464,10637.889839999998,,,,,,,,,,,,,,,,,,,,,,,,
2026-02,1275.7381034482758,3491.368879310345,5499.540775862069,7220.180344827586,8694.65448275862,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03,1343.9535042735042,3606.6240170940173,5309.735213675214,7152.296410256411,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04,1254.7407142857141,3303.6164285714285,5169.713333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05,1617.8985858585859,4449.05404040404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
